fn,bbox
000556.jpg,60 69 150 159 13 80 103 170 163 57 224 147
000557.jpg,40 0 130 87 58 176 148 224 174 154 224 224 98 9 188 99
000558.jpg,0 115 53 205 72 96 162 186
000559.jpg,88 82 178 172
000560.jpg,175 154 224 224 72 115 162 205
000561.jpg,140 74 224 164 4 109 94 199
000562.jpg,82 175 172 224
000563.jpg,126 140 216 224 0 40 89 130
000564.jpg,172 17 224 107
000565.jpg,0 103 75 193
000566.jpg,71 28 161 118
000567.jpg,158 114 224 204 0 118 61 208
000568.jpg,71 33 161 123 32 0 122 69
000569.jpg,0 147 56 224 53 142 143 224
000570.jpg,34 47 124 137 93 34 183 124
000571.jpg,48 0 138 69
000572.jpg,124 15 214 105
000573.jpg,0 31 49 121
000574.jpg,0 103 55 193
000575.jpg,168 0 224 73
000576.jpg,139 110 224 200 0 77 89 167 111 18 201 108 120 158 210 224
000577.jpg,148 0 224 75 51 33 141 123 0 79 50 169 109 13 199 103
000578.jpg,75 0 165 55
000579.jpg,97 151 187 224
000580.jpg,0 47 67 137
000581.jpg,104 46 194 136
000582.jpg,45 47 135 137
000583.jpg,0 60 70 150 5 169 95 224
000584.jpg,120 154 210 224 176 164 224 224 36 39 126 129 0 0 61 89
000585.jpg,0 0 87 50 147 42 224 132
000586.jpg,109 153 199 224
000587.jpg,36 106 126 196
000588.jpg,156 29 224 119
000589.jpg,23 112 113 202
000590.jpg,80 68 170 158
000591.jpg,91 90 181 180 148 81 224 171 17 0 107 85 32 160 122 224
000592.jpg,98 82 188 172
000593.jpg,0 125 73 215
000594.jpg,67 30 157 120
000595.jpg,0 11 78 101 42 151 132 224
000596.jpg,136 0 224 89
000597.jpg,112 140 202 224
000598.jpg,146 102 224 192
000599.jpg,128 0 218 77 147 119 224 209
000600.jpg,100 152 190 224 69 72 159 162
000601.jpg,76 13 166 103 126 94 216 184
000602.jpg,114 0 204 85
000603.jpg,36 168 126 224
000604.jpg,146 26 224 116 22 60 112 150
000605.jpg,161 19 224 109
000606.jpg,177 9 224 99
000607.jpg,10 53 100 143
000608.jpg,0 34 89 124
000609.jpg,98 144 188 224
000610.jpg,33 46 123 136
000611.jpg,5 136 95 224
000612.jpg,43 168 133 224
000613.jpg,0 6 53 96
000614.jpg,77 0 167 62
000615.jpg,125 144 215 224
000616.jpg,44 159 134 224
000617.jpg,152 140 224 224 26 140 116 224
000618.jpg,34 0 124 69
000619.jpg,138 78 224 168
000620.jpg,65 59 155 149
000621.jpg,15 133 105 223
000622.jpg,0 34 69 124
000623.jpg,117 110 207 200
000624.jpg,24 33 114 123
000625.jpg,44 116 134 206
000626.jpg,104 40 194 130 10 45 100 135
000627.jpg,114 55 204 145
000628.jpg,61 0 151 74 2 14 92 104
000629.jpg,119 102 209 192
000630.jpg,0 0 61 80
000631.jpg,0 111 80 201
000632.jpg,0 90 48 180
000633.jpg,91 47 181 137 6 46 96 136 79 135 169 224
000634.jpg,0 13 72 103 171 98 224 188 99 131 189 221
000635.jpg,0 131 68 221
000636.jpg,20 0 110 54
000637.jpg,0 106 61 196
000638.jpg,0 148 88 224
000639.jpg,0 69 78 159
000640.jpg,120 132 210 222 118 28 208 118 14 62 104 152
000641.jpg,159 0 224 74 98 1 188 91
000642.jpg,168 14 224 104
000643.jpg,0 20 89 110 154 43 224 133
000644.jpg,0 68 55 158 65 18 155 108 137 52 224 142
000645.jpg,139 111 224 201 68 95 158 185 37 4 127 94 0 0 55 53
000646.jpg,100 106 190 196
000647.jpg,0 0 76 90
000648.jpg,165 36 224 126
000649.jpg,0 0 54 83
000650.jpg,81 51 171 141 0 0 87 63
000651.jpg,170 165 224 224
000652.jpg,164 140 224 224 91 164 181 224 10 28 100 118 83 5 173 95 152 49 224 139
000653.jpg,146 0 224 62 0 6 87 96 162 163 224 224
000654.jpg,49 35 139 125 141 121 224 211 79 169 169 224
000655.jpg,0 28 46 118 77 49 167 139 122 135 212 224
000656.jpg,35 171 125 224 94 100 184 190 142 0 224 71 28 0 118 58
000657.jpg,152 0 224 68 94 158 184 224 104 50 194 140 3 32 93 122 0 109 58 199
000658.jpg,175 63 224 153 133 0 223 60 45 0 135 71
000659.jpg,152 175 224 224 102 84 192 174 8 117 98 207 107 0 197 69 0 0 74 87
000660.jpg,74 140 164 224 159 91 224 181 43 7 133 97 0 174 51 224
000661.jpg,137 153 224 224 104 22 194 112 0 84 90 174
000662.jpg,37 0 127 47
000663.jpg,12 168 102 224
000664.jpg,61 46 151 136
000665.jpg,165 77 224 167 0 167 52 224 0 56 88 146 25 48 115 138 65 33 155 123
000666.jpg,175 165 224 224 51 118 141 208 131 0 221 74
000667.jpg,54 138 144 224
000668.jpg,0 31 46 121
000669.jpg,31 10 121 100
000670.jpg,160 1 224 91 35 122 125 212 0 9 73 99
000671.jpg,86 176 176 224 170 140 224 224 51 0 141 62
000672.jpg,142 140 224 224
000673.jpg,167 97 224 187 133 34 223 124 98 102 188 192 11 31 101 121 0 119 86 209
000674.jpg,68 63 158 153 47 112 137 202 131 106 221 196 137 168 224 224
000675.jpg,46 14 136 104 19 86 109 176 0 98 51 188
000676.jpg,128 86 218 176 105 27 195 117
000677.jpg,95 124 185 214 75 37 165 127 12 58 102 148
000678.jpg,0 31 69 121
000679.jpg,1 106 91 196 58 149 148 224
000680.jpg,153 85 224 175 54 124 144 214 0 110 52 200
000681.jpg,10 49 100 139 0 145 48 224 90 58 180 148 164 43 224 133
000682.jpg,121 108 211 198 23 146 113 224 89 19 179 109 0 44 67 134
000683.jpg,89 145 179 224 83 42 173 132 161 2 224 92 7 0 97 79
000684.jpg,36 102 126 192 127 12 217 102 0 0 86 90
000685.jpg,68 103 158 193
000686.jpg,123 130 213 220 0 51 66 141 103 0 193 71
000687.jpg,167 123 224 213 148 24 224 114
000688.jpg,77 0 167 64 95 88 185 178
000689.jpg,0 1 83 91
000690.jpg,95 0 185 70
000691.jpg,0 116 52 206
000692.jpg,109 98 199 188
000693.jpg,173 0 224 54
000694.jpg,127 141 217 224 53 168 143 224 0 68 88 158
000695.jpg,125 108 215 198 0 85 64 175
000696.jpg,16 0 106 72 0 63 68 153 147 140 224 224 75 158 165 224
000697.jpg,143 150 224 224 92 0 182 82 20 29 110 119 0 17 55 107
000698.jpg,134 47 224 137 65 0 155 78 0 0 72 67 70 158 160 224
000699.jpg,100 117 190 207 0 1 54 91
000700.jpg,160 0 224 54 0 129 54 219 61 0 151 68 0 9 58 99
000701.jpg,66 0 156 82 0 61 64 151
000702.jpg,165 43 224 133
000703.jpg,99 89 189 179 17 86 107 176 0 159 46 224
000704.jpg,171 157 224 224 165 0 224 60 49 21 139 111
000705.jpg,96 111 186 201 0 168 62 224 0 22 84 112
000706.jpg,149 171 224 224 115 37 205 127
000707.jpg,44 0 134 56 0 121 58 211 69 86 159 176
000708.jpg,17 146 107 224
000709.jpg,0 58 60 148 86 126 176 216 160 0 224 79
000710.jpg,20 68 110 158
000711.jpg,167 47 224 137 55 75 145 165 27 0 117 57
000712.jpg,101 100 191 190 86 0 176 62 0 34 61 124
000713.jpg,0 58 75 148 140 10 224 100
000714.jpg,118 20 208 110 125 100 215 190
000715.jpg,39 176 129 224 4 61 94 151 0 5 71 95
000716.jpg,95 85 185 175 0 62 79 152 0 159 88 224
000717.jpg,36 26 126 116 47 120 137 210
000718.jpg,164 149 224 224 132 95 222 185 72 165 162 224 17 115 107 205
000719.jpg,169 162 224 224 100 130 190 220 36 111 126 201 0 163 76 224
000720.jpg,155 37 224 127 5 26 95 116 47 77 137 167 3 165 93 224
000721.jpg,166 61 224 151 65 101 155 191 0 38 85 128 0 145 59 224
000722.jpg,0 0 60 88 0 177 80 224
000723.jpg,96 176 186 224 19 57 109 147 162 43 224 133 65 93 155 183
000724.jpg,53 175 143 224
000725.jpg,120 113 210 203 27 144 117 224
000726.jpg,141 45 224 135 24 103 114 193 109 0 199 68 0 57 53 147
000727.jpg,33 126 123 216 0 46 77 136
000728.jpg,169 0 224 85 75 177 165 224 72 23 162 113 0 82 62 172
000729.jpg,130 55 220 145 15 108 105 198 0 0 59 85
000730.jpg,0 96 68 186 84 46 174 136
000731.jpg,149 126 224 216
000732.jpg,77 67 167 157
000733.jpg,26 119 116 209 121 77 211 167 0 0 90 84
000734.jpg,158 0 224 52 154 60 224 150 62 104 152 194 0 173 57 224
000735.jpg,0 80 70 170
000736.jpg,134 12 224 102
000737.jpg,80 92 170 182 75 0 165 59
000738.jpg,0 11 89 101 100 0 190 88
000739.jpg,167 0 224 47 97 51 187 141 131 128 221 218
000740.jpg,124 126 214 216 0 0 79 73
000741.jpg,75 115 165 205 27 54 117 144
000742.jpg,173 85 224 175 105 0 195 85
000743.jpg,164 88 224 178 133 0 223 72
000744.jpg,99 177 189 224 0 80 46 170 0 0 69 70 46 38 136 128 121 8 211 98
000745.jpg,40 0 130 66
000746.jpg,169 0 224 54 66 33 156 123 45 1 135 91 2 41 92 131 160 148 224 224
000747.jpg,172 0 224 85 61 28 151 118 0 86 48 176
000748.jpg,0 127 87 217 57 82 147 172 61 148 151 224
000749.jpg,0 141 47 224
000750.jpg,0 62 47 152 1 15 91 105 109 149 199 224
000751.jpg,0 0 88 74 44 53 134 143 91 152 181 224
000752.jpg,116 26 206 116 148 151 224 224 68 161 158 224
000753.jpg,81 77 171 167 0 83 81 173
000754.jpg,170 140 224 224 122 42 212 132 30 80 120 170 12 17 102 107
000755.jpg,60 0 150 50
000756.jpg,45 72 135 162 177 137 224 224 170 15 224 105
000757.jpg,0 126 57 216 86 90 176 180 64 0 154 67
000758.jpg,128 0 218 58 0 35 79 125 34 142 124 224
000759.jpg,150 0 224 90 36 49 126 139
000760.jpg,177 156 224 224 0 0 53 80
000761.jpg,28 153 118 224 110 130 200 220
000762.jpg,30 0 120 90 91 65 181 155 87 0 177 46 132 107 222 197
000763.jpg,0 1 76 91
000764.jpg,20 0 110 54 117 10 207 100
000765.jpg,141 95 224 185
000766.jpg,48 173 138 224 1 142 91 224
000767.jpg,96 145 186 224
000768.jpg,7 0 97 68
000769.jpg,145 172 224 224 160 106 224 196
000770.jpg,26 135 116 224 72 45 162 135
000771.jpg,59 29 149 119
000772.jpg,80 51 170 141 8 2 98 92
000773.jpg,149 174 224 224 7 104 97 194 108 57 198 147
000774.jpg,162 10 224 100 114 165 204 224
000775.jpg,43 106 133 196 0 0 88 81 0 37 81 127 0 50 52 140
000776.jpg,23 94 113 184 134 44 224 134
000777.jpg,87 129 177 219 0 176 75 224
000778.jpg,93 60 183 150
000779.jpg,152 63 224 153 47 132 137 222 0 0 90 89
000780.jpg,94 0 184 59 153 0 224 78
000781.jpg,0 0 53 68 0 99 82 189 17 175 107 224
000782.jpg,40 132 130 222
000783.jpg,133 173 223 224 88 98 178 188
000784.jpg,166 13 224 103 128 152 218 224
000785.jpg,144 123 224 213 103 18 193 108 41 157 131 224 136 127 224 217
000786.jpg,162 0 224 55 91 62 181 152
000787.jpg,137 46 224 136 101 0 191 69 12 14 102 104
000788.jpg,98 89 188 179
000789.jpg,40 0 130 89 0 166 68 224 107 152 197 224
000790.jpg,150 149 224 224 77 0 167 74 0 34 76 124
000791.jpg,0 124 73 214 93 77 183 167
000792.jpg,146 159 224 224 130 0 220 80
000793.jpg,175 49 224 139
000794.jpg,35 146 125 224 0 175 61 224 81 26 171 116 173 0 224 54
000795.jpg,174 126 224 216 0 74 66 164 87 44 177 134
000796.jpg,138 35 224 125 24 102 114 192
000797.jpg,84 0 174 57 104 88 194 178 0 18 73 108
000798.jpg,42 171 132 224 147 0 224 90 135 127 224 217 47 32 137 122
000799.jpg,0 43 74 133 27 129 117 219 125 50 215 140
000800.jpg,9 132 99 222 33 108 123 198 40 55 130 145 86 25 176 115 149 0 224 62
000801.jpg,88 22 178 112 157 170 224 224
000802.jpg,92 48 182 138
000803.jpg,77 162 167 224
000804.jpg,0 0 85 88
000805.jpg,163 104 224 194
000806.jpg,93 150 183 224
000807.jpg,119 49 209 139 17 87 107 177 149 163 224 224
000808.jpg,83 98 173 188 55 0 145 71 0 154 65 224
000809.jpg,8 21 98 111 117 0 207 80
000810.jpg,149 166 224 224 51 121 141 211 0 68 84 158 0 139 54 224
000811.jpg,38 110 128 200 141 157 224 224 67 0 157 75 0 159 65 224 0 115 73 205
000812.jpg,21 102 111 192 0 10 49 100
000813.jpg,150 0 224 49 166 90 224 180 0 139 85 224 0 24 81 114
000814.jpg,72 154 162 224 90 15 180 105
000815.jpg,164 131 224 221
000816.jpg,56 0 146 49 0 0 52 68
000817.jpg,83 87 173 177 0 130 67 220
000818.jpg,22 147 112 224 95 10 185 100
000819.jpg,66 172 156 224 33 68 123 158 163 119 224 209 145 17 224 107
000820.jpg,0 138 60 224 12 91 102 181 4 0 94 65 69 75 159 165 74 0 164 54 124 5 214 95
000821.jpg,6 25 96 115 0 78 67 168 23 121 113 211 120 46 210 136 115 0 205 49 177 30 224 120
000822.jpg,79 17 169 107 0 94 55 184
000823.jpg,100 0 190 73 157 27 224 117
000824.jpg,175 100 224 190 0 62 52 152
000825.jpg,150 122 224 212
000826.jpg,175 0 224 46 0 0 62 50
000827.jpg,104 0 194 46 142 70 224 160 32 134 122 224 0 0 75 60
000828.jpg,171 0 224 60 95 107 185 197 1 173 91 224 0 65 49 155
000829.jpg,154 42 224 132 38 49 128 139
000830.jpg,122 95 212 185 7 99 97 189 29 0 119 65
000831.jpg,131 0 221 81 53 31 143 121
000832.jpg,89 152 179 224
000833.jpg,59 70 149 160 0 103 56 193
000834.jpg,167 174 224 224 127 49 217 139 35 89 125 179
000835.jpg,85 113 175 203 0 60 50 150 0 0 50 79
000836.jpg,0 171 68 224 70 138 160 224
000837.jpg,15 79 105 169 119 50 209 140 110 159 200 224
000838.jpg,132 13 222 103 27 0 117 63 23 154 113 224 121 172 211 224
000839.jpg,0 103 62 193 62 89 152 179
000840.jpg,50 0 140 62 0 126 75 216 22 164 112 224 169 132 224 222 144 0 224 53
000841.jpg,23 0 113 82 53 3 143 93 84 122 174 212
000842.jpg,0 10 62 100 0 118 60 208 25 114 115 204 101 9 191 99
000843.jpg,20 0 110 47
000844.jpg,86 173 176 224
000845.jpg,146 103 224 193 119 58 209 148 164 29 224 119 177 0 224 55
000846.jpg,163 0 224 65 101 6 191 96 0 169 74 224
000847.jpg,109 0 199 54 88 27 178 117
000848.jpg,79 48 169 138 165 31 224 121 139 0 224 49
000849.jpg,88 111 178 201
000850.jpg,0 14 55 104 83 103 173 193
000851.jpg,0 86 52 176
000852.jpg,110 178 200 224
000853.jpg,20 134 110 224 98 96 188 186
000854.jpg,96 70 186 160
000855.jpg,0 106 74 196 85 156 175 224 71 48 161 138 113 92 203 182
000856.jpg,0 0 70 88 12 62 102 152 0 170 84 224
000857.jpg,162 0 224 48 154 23 224 113 115 52 205 142 132 92 222 182 74 14 164 104
000858.jpg,104 0 194 79 103 69 193 159 0 162 81 224
000859.jpg,47 0 137 78 120 169 210 224
000860.jpg,81 0 171 57 128 57 218 147 84 55 174 145 45 110 135 200
000861.jpg,178 133 224 223 159 60 224 150 109 51 199 141 47 78 137 168 92 174 182 224 39 152 129 224
000862.jpg,103 55 193 145 39 102 129 192 164 141 224 224 74 169 164 224 0 0 75 82 30 0 120 90
000863.jpg,104 70 194 160 153 0 224 60 57 17 147 107 0 60 79 150 0 0 73 77
000864.jpg,134 0 224 86 77 83 167 173 63 0 153 65
000865.jpg,49 114 139 204 41 2 131 92
000866.jpg,142 37 224 127 75 132 165 222 62 29 152 119
000867.jpg,76 138 166 224 148 86 224 176 127 3 217 93
000868.jpg,169 84 224 174 86 0 176 86
000869.jpg,86 0 176 74 166 0 224 53
000870.jpg,0 120 86 210 96 30 186 120
000871.jpg,98 135 188 224 121 16 211 106 65 11 155 101 0 11 83 101
000872.jpg,0 15 60 105
000873.jpg,70 27 160 117 12 96 102 186
000874.jpg,47 74 137 164 0 151 82 224 90 0 180 79
000875.jpg,85 26 175 116
000876.jpg,127 178 217 224 122 109 212 199 86 111 176 201
000877.jpg,0 121 60 211 71 0 161 57 77 46 167 136 139 41 224 131 147 0 224 85
000878.jpg,0 75 78 165 94 0 184 66 97 41 187 131 135 133 224 223 47 115 137 205
000879.jpg,134 102 224 192 84 152 174 224
000880.jpg,0 0 70 78 111 37 201 127 15 75 105 165 49 170 139 224
000881.jpg,151 148 224 224 117 84 207 174 82 141 172 224 0 125 82 215 0 46 83 136
000882.jpg,135 20 224 110 0 0 83 53 23 56 113 146 34 172 124 224 0 164 77 224 89 126 179 216 171 141 224 224
000883.jpg,113 65 203 155 49 0 139 73 92 162 182 224 12 116 102 206 34 159 124 224 0 22 58 112
000884.jpg,166 34 224 124 158 102 224 192 48 103 138 193 36 169 126 224 1 137 91 224 0 131 53 221
000885.jpg,55 106 145 196 125 102 215 192 120 0 210 82 51 4 141 94 0 108 58 198
000886.jpg,50 101 140 191 118 0 208 75 62 0 152 88 0 107 54 197 0 0 84 89
000887.jpg,0 106 85 196 58 104 148 194 132 89 222 179 110 0 200 79 59 0 149 74 0 0 80 77
000888.jpg,134 0 224 55 0 0 53 63 54 0 144 66 129 70 219 160 38 159 128 224
000889.jpg,81 165 171 224 147 165 224 224 89 75 179 165 0 165 80 224 0 75 73 165
000890.jpg,0 141 64 224 25 150 115 224 103 144 193 224 58 41 148 131 116 39 206 129
000891.jpg,48 1 138 91
000892.jpg,0 0 50 58
000893.jpg,81 63 171 153 117 1 207 91
000894.jpg,141 0 224 59
000895.jpg,61 148 151 224
000896.jpg,164 0 224 88
000897.jpg,0 105 53 195
000898.jpg,0 126 59 216 0 55 56 145 9 100 99 190 56 43 146 133 34 0 124 81 135 146 224 224
000899.jpg,31 0 121 76 0 1 76 91 0 39 58 129
000900.jpg,0 89 59 179
000901.jpg,80 26 170 116 61 123 151 213
000902.jpg,94 0 184 87 82 118 172 208 0 26 75 116
000903.jpg,20 0 110 73 0 92 67 182
000904.jpg,0 0 70 49 0 109 47 199
000905.jpg,24 8 114 98 0 114 46 204 80 159 170 224
000906.jpg,11 0 101 46 89 22 179 112 14 66 104 156 44 126 134 216
000907.jpg,40 0 130 64 93 54 183 144 132 125 222 215 39 45 129 135 0 115 47 205 123 127 213 217
000908.jpg,136 0 224 65 107 32 197 122 128 143 218 224 0 98 62 188 34 41 124 131 33 0 123 76 0 1 56 91
000909.jpg,46 0 136 90 117 83 207 173 0 87 63 177 0 7 50 97
000910.jpg,47 0 137 61 84 161 174 224 0 177 87 224 133 0 223 65 0 84 78 174 0 0 57 70
000911.jpg,176 123 224 213 79 127 169 217 0 48 74 138
000912.jpg,174 137 224 224 17 158 107 224 97 142 187 224 0 26 62 116
000913.jpg,26 136 116 224 133 147 223 224 116 30 206 120 53 21 143 111 0 27 46 117
000914.jpg,86 151 176 224 101 5 191 95
000915.jpg,39 25 129 115
000916.jpg,0 111 76 201 94 112 184 202 64 61 154 151
000917.jpg,153 96 224 186 33 47 123 137
000918.jpg,123 106 213 196 0 174 88 224 27 27 117 117 56 93 146 183
000919.jpg,133 134 223 224 119 16 209 106 41 35 131 125 0 44 84 134 5 0 95 59
000920.jpg,118 45 208 135 136 118 224 208 35 82 125 172 47 24 137 114 0 0 47 51
000921.jpg,142 143 224 224 55 150 145 224 0 53 47 143 130 34 220 124 0 0 90 59 74 0 164 53
000922.jpg,50 111 140 201 166 117 224 207 157 4 224 94 63 9 153 99
000923.jpg,42 139 132 224 91 0 181 88 0 38 83 128
000924.jpg,124 130 214 220 94 27 184 117 15 140 105 224 0 18 84 108
000925.jpg,150 113 224 203 146 31 224 121 0 29 66 119
000926.jpg,122 173 212 224
000927.jpg,158 73 224 163 73 0 163 56
000928.jpg,0 141 81 224 0 4 59 94
000929.jpg,127 46 217 136 29 54 119 144
000930.jpg,0 0 60 85 97 1 187 91
000931.jpg,32 51 122 141
000932.jpg,95 144 185 224
000933.jpg,89 0 179 89 108 128 198 218 9 112 99 202 6 0 96 83
000934.jpg,165 0 224 90 87 28 177 118 32 0 122 83 52 176 142 224 0 51 68 141 0 0 54 58
000935.jpg,99 121 189 211 13 134 103 224 0 41 76 131
000936.jpg,106 0 196 76 16 114 106 204 17 11 107 101
000937.jpg,94 120 184 210 125 0 215 85 5 131 95 221 53 13 143 103 0 18 46 108 169 115 224 205
000938.jpg,87 135 177 224 71 28 161 118 0 134 79 224 0 8 58 98
000939.jpg,24 167 114 224 50 167 140 224 44 94 134 184
000940.jpg,150 143 224 224 0 175 64 224
000941.jpg,160 11 224 101 61 133 151 223
000942.jpg,176 78 224 168 175 148 224 224 87 159 177 224 93 107 183 197 96 1 186 91
000943.jpg,156 123 224 213
000944.jpg,0 78 69 168 0 0 82 72
000945.jpg,163 0 224 75 15 163 105 224 43 20 133 110 0 0 68 87
000946.jpg,157 174 224 224 35 163 125 224
000947.jpg,93 90 183 180 75 0 165 67 0 0 64 65 0 137 87 224
000948.jpg,136 21 224 111 49 38 139 128
000949.jpg,0 127 58 217 144 94 224 184
000950.jpg,136 45 224 135 0 52 78 142
000951.jpg,42 128 132 218
000952.jpg,109 22 199 112
000953.jpg,110 175 200 224 64 71 154 161 127 27 217 117
000954.jpg,11 87 101 177 0 0 50 68 86 0 176 82
000955.jpg,76 106 166 196 10 117 100 207
000956.jpg,0 172 88 224 36 7 126 97
000957.jpg,150 110 224 200 158 46 224 136 30 16 120 106
000958.jpg,171 107 224 197 158 44 224 134 66 83 156 173 4 112 94 202 0 101 55 191 30 2 120 92 0 0 54 83
000959.jpg,169 28 224 118 129 89 219 179 28 137 118 224 0 146 51 224 0 108 72 198 0 15 59 105
000960.jpg,94 0 184 65 81 80 171 170 141 142 224 224 19 158 109 224
000961.jpg,120 0 210 46 65 61 155 151 0 89 51 179
000962.jpg,77 0 167 88 0 0 64 79
000963.jpg,74 157 164 224 75 53 165 143 84 0 174 57 0 0 75 50
000964.jpg,154 151 224 224 67 144 157 224 0 159 51 224 7 49 97 139
000965.jpg,58 4 148 94
000966.jpg,76 0 166 84
000967.jpg,122 6 212 96 47 14 137 104 45 84 135 174 147 151 224 224
000968.jpg,97 0 187 89 75 96 165 186
000969.jpg,43 93 133 183 107 50 197 140 167 60 224 150
000970.jpg,64 0 154 60 114 140 204 224 0 169 64 224 0 0 69 87
000971.jpg,152 107 224 197 53 28 143 118
000972.jpg,173 0 224 90 46 15 136 105 111 36 201 126
000973.jpg,128 166 218 224 158 24 224 114 84 52 174 142 30 75 120 165 0 92 56 182
000974.jpg,168 57 224 147 26 37 116 127 0 0 75 53
000975.jpg,168 0 224 61
000976.jpg,1 148 91 224
000977.jpg,167 47 224 137 114 0 204 64 54 36 144 126
000978.jpg,2 160 92 224 84 170 174 224 55 17 145 107 15 0 105 77
000979.jpg,138 56 224 146
000980.jpg,73 142 163 224 0 32 68 122
000981.jpg,4 135 94 224 0 54 81 144
000982.jpg,48 141 138 224 0 132 82 222 24 0 114 71 0 0 51 75
000983.jpg,136 142 224 224 72 95 162 185 62 0 152 52
000984.jpg,132 137 222 224 64 27 154 117 6 58 96 148
000985.jpg,164 161 224 224 0 0 79 71 0 54 71 144 45 140 135 224
000986.jpg,162 71 224 161 134 0 224 69 97 16 187 106
000987.jpg,89 145 179 224 83 60 173 150 151 40 224 130 81 0 171 64 127 0 217 48
000988.jpg,116 156 206 224 139 15 224 105 31 168 121 224 49 25 139 115 0 0 56 68
000989.jpg,162 172 224 224 132 13 222 103
000990.jpg,81 141 171 224
000991.jpg,166 43 224 133 155 100 224 190 81 150 171 224 0 149 51 224
000992.jpg,157 22 224 112 99 51 189 141 16 56 106 146
000993.jpg,49 141 139 224 144 125 224 215 0 2 86 92
000994.jpg,57 157 147 224 114 155 204 224 100 41 190 131
000995.jpg,112 149 202 224 66 111 156 201 119 48 209 138 94 0 184 59
000996.jpg,38 80 128 170 129 15 219 105 66 27 156 117
000997.jpg,147 178 224 224
000998.jpg,123 120 213 210 20 0 110 66
000999.jpg,109 161 199 224 138 141 224 224 114 104 204 194 52 0 142 48
001000.jpg,84 166 174 224 103 57 193 147 0 24 81 114
001001.jpg,168 154 224 224 69 161 159 224 119 72 209 162 154 17 224 107 3 100 93 190
001002.jpg,0 134 62 224 109 160 199 224 57 80 147 170 4 0 94 47
001003.jpg,148 33 224 123 0 0 90 60 60 0 150 63 94 0 184 80
001004.jpg,113 0 203 87 44 0 134 61
001005.jpg,173 2 224 92 0 24 72 114
001006.jpg,114 123 204 213
001007.jpg,161 29 224 119
001008.jpg,22 108 112 198 26 169 116 224
001009.jpg,94 5 184 95 20 14 110 104
001010.jpg,93 4 183 94
001011.jpg,100 145 190 224 125 4 215 94 22 155 112 224 0 43 49 133
001012.jpg,0 128 83 218 0 35 63 125 58 23 148 113
001013.jpg,0 22 89 112 40 128 130 218
001014.jpg,110 110 200 200 149 0 224 71 6 165 96 224 33 77 123 167 27 0 117 57
001015.jpg,78 91 168 181 0 108 60 198
001016.jpg,138 176 224 224 3 111 93 201 108 70 198 160 176 77 224 167
001017.jpg,73 125 163 215 39 37 129 127 144 128 224 218 132 55 222 145
001018.jpg,137 140 224 224 122 78 212 168 53 109 143 199 0 80 84 170 13 106 103 196
001019.jpg,65 135 155 224 169 3 224 93 77 0 167 59
001020.jpg,165 69 224 159 36 80 126 170 0 0 55 75
001021.jpg,34 118 124 208 149 29 224 119
001022.jpg,126 92 216 182 66 153 156 224
001023.jpg,31 83 121 173 20 0 110 86
001024.jpg,115 22 205 112 50 138 140 224
001025.jpg,48 29 138 119 53 105 143 195
001026.jpg,63 0 153 61 32 81 122 171
001027.jpg,102 115 192 205
001028.jpg,74 148 164 224
001029.jpg,28 0 118 57 29 167 119 224 61 90 151 180
001030.jpg,93 0 183 69
001031.jpg,146 154 224 224 1 5 91 95
001032.jpg,0 0 84 83
001033.jpg,145 142 224 224
001034.jpg,155 54 224 144
001035.jpg,28 128 118 218 38 5 128 95
001036.jpg,126 58 216 148 75 174 165 224 0 48 63 138
001037.jpg,61 61 151 151
001038.jpg,143 0 224 87 15 26 105 116
001039.jpg,112 173 202 224 113 47 203 137 76 72 166 162 11 156 101 224 17 47 107 137 0 77 53 167
001040.jpg,72 162 162 224 122 83 212 173 42 65 132 155 147 18 224 108 0 97 75 187
001041.jpg,60 101 150 191
001042.jpg,143 95 224 185 74 0 164 48 0 79 52 169
001043.jpg,48 135 138 224
001044.jpg,129 164 219 224
001045.jpg,91 39 181 129 35 70 125 160 0 82 60 172
001046.jpg,83 0 173 57 146 118 224 208 151 0 224 54
001047.jpg,148 142 224 224 83 147 173 224 108 0 198 79 63 0 153 84 0 144 83 224
001048.jpg,140 0 224 87 0 61 75 151
001049.jpg,137 0 224 46 95 23 185 113 22 0 112 57 30 85 120 175 163 173 224 224 106 113 196 203
001050.jpg,35 0 125 54 0 90 66 180 100 83 190 173
001051.jpg,0 0 84 51 23 68 113 158 107 56 197 146
001052.jpg,34 94 124 184 142 47 224 137 93 0 183 67 143 160 224 224 0 12 69 102
001053.jpg,0 102 89 192 111 52 201 142
001054.jpg,52 23 142 113 148 0 224 67
001055.jpg,156 141 224 224
001056.jpg,162 172 224 224 108 74 198 164
001057.jpg,0 70 88 160 0 0 74 46
001058.jpg,0 131 87 221 21 52 111 142
001059.jpg,173 36 224 126 0 0 54 76
001060.jpg,0 38 66 128 47 3 137 93
001061.jpg,19 149 109 224
001062.jpg,139 172 224 224 152 58 224 148 45 0 135 63 107 0 197 86
001063.jpg,55 0 145 50
001064.jpg,99 168 189 224
001065.jpg,64 135 154 224 171 166 224 224 153 95 224 185 0 102 67 192 0 0 90 90
001066.jpg,173 70 224 160 0 111 78 201 71 169 161 224
001067.jpg,50 1 140 91 114 160 204 224 53 147 143 224
001068.jpg,0 0 70 48 13 40 103 130
001069.jpg,0 134 61 224
001070.jpg,24 0 114 77 0 31 55 121
